180,138,0,1,0,0,-4
145,138,0,1,1,0,-18
187,138,2,2,2,1,-6
131,138,2,2,3,1,-7
138,14,4,1,1,5,-5
138,61,4,2,1,5,7
138,47,5,2,3,4,5
47,138,4,8,7,4,6
138,152,7,5,11,2,-28
103,138,7,6,7,6,17
138,180,7,7,3,10,-10
138,187,7,8,6,9,-5
138,110,7,9,4,12,10
201,138,14,2,8,9,20
159,138,8,9,8,10,6
138,117,8,11,13,7,-5
138,173,8,12,16,4,-5
82,138,15,8,8,14,22
110,138,6,18,8,16,-9
138,124,9,16,13,14,-1
180,138,12,15,9,17,9
138,166,9,18,5,20,8
124,138,15,14,10,18,-7
138,89,13,20,21,12,-20
152,138,28,11,15,22,5
145,138,13,24,15,23,-10
21,138,16,22,17,23,-2
201,138,37,7,19,24,11
131,138,28,19,19,27,-15
28,138,19,28,20,27,-6
0,138,34,14,21,27,-11
103,138,30,22,22,28,-2
194,138,33,23,24,29,-13
40,138,40,14,26,29,22
68,138,34,23,26,30,16
138,110,26,31,13,46,-3
138,40,27,33,44,15,-4
138,54,27,34,31,30,-8
110,138,17,50,29,36,-23
173,138,47,20,30,37,6
138,159,30,38,33,33,-11
138,201,30,40,56,13,-15
138,180,30,41,37,34,-19
138,117,32,42,48,24,-1
138,187,32,43,41,33,-19
138,124,33,44,45,32,21
152,138,55,22,34,44,-8
138,103,35,45,49,31,-23
146,139,0,0,0,0,19
1,139,1,0,0,1,-8
48,139,1,0,1,1,-14
139,160,2,2,1,3,-11
139,153,2,4,4,4,-7
83,139,8,1,2,6,-5
90,139,7,3,3,6,8
22,139,9,4,5,9,3
118,139,15,3,6,11,11
167,139,6,14,6,12,-3
132,139,12,8,7,12,-18
139,167,8,12,7,15,-8
118,139,19,5,8,13,3
139,104,8,14,15,11,8
160,139,12,15,10,14,-6
139,118,11,15,22,7,-23
146,139,19,10,11,17,-7
139,160,12,17,14,19,2
139,55,14,18,21,15,-22
139,97,14,20,8,28,20
188,139,22,15,15,20,18
139,167,17,21,14,27,26
41,139,22,19,18,21,2
29,139,19,24,18,22,22
139,132,18,23,21,22,-7
111,139,22,24,18,24,4
139,195,18,25,11,34,9
167,139,17,30,19,26,-3
195,139,12,37,20,28,15
139,153,20,30,32,20,-8
104,139,30,25,21,33,-15
139,104,22,33,30,26,-39
174,139,32,26,22,35,9
202,139,42,16,22,37,21
139,174,22,39,35,28,-10
139,181,22,40,32,31,-3
202,139,49,16,23,42,6
140,161,0,0,0,0,2
189,140,0,1,1,0,10
140,147,1,1,2,0,4
140,168,2,1,0,3,-2
9,140,2,2,2,2,-10
140,154,3,2,1,4,-24
105,140,3,3,3,3,6
140,112,4,4,5,3,8
35,140,6,3,6,5,-9
140,105,7,5,6,6,-11
112,140,5,6,7,6,-11
105,140,8,7,8,6,-1
23,140,8,8,9,6,-11
140,16,10,7,6,13,7
140,35,11,7,11,6,7
140,84,14,7,14,5,2
140,91,15,7,8,13,-14
196,140,5,18,16,8,-7
140,168,17,8,7,17,-4
154,140,12,14,18,9,3
140,133,18,10,15,14,11
56,140,14,15,19,10,-7
42,140,14,14,20,10,-18
147,140,25,7,21,10,-21
140,147,22,10,26,8,-26
189,140,22,10,22,11,7
140,105,23,12,22,16,-11
84,140,24,12,23,13,17
140,203,23,14,30,11,-7
140,196,23,15,13,26,4
119,140,33,9,25,15,-5
140,2,26,15,25,16,-16
140,30,26,16,22,19,-7
175,140,19,26,28,17,-3
161,140,16,31,29,17,-20
140,119,30,18,36,12,-21
182,140,28,25,30,21,9
140,133,30,22,30,24,-14
161,140,18,36,30,23,-10
203,140,44,12,31,23,-6
140,112,32,23,20,32,1
140,23,33,23,35,21,-11
140,56,33,26,22,34,-7
63,140,23,37,33,27,-7
182,140,33,29,35,27,6
49,140,38,22,35,29,-29
16,140,23,43,36,29,-8
2,140,35,29,37,29,18
140,182,37,30,36,30,30
98,140,25,43,39,31,-9
154,140,36,34,40,31,-6
126,140,33,39,41,32,-27
133,140,40,37,44,32,7
112,140,29,47,44,33,-16
119,140,57,21,45,33,19
140,154,45,34,42,37,-2
105,140,1,1,1,1,-2
105,140,2,3,3,2,-4
140,203,0,0,0,0,-2
203,140,1,1,1,1,10
203,140,2,1,1,2,-10
140,203,2,2,2,2,-18
141,57,2,1,3,0,20
120,141,5,2,5,3,-1
141,134,7,3,1,10,11
190,141,6,5,8,3,7
141,197,8,6,6,7,1
141,120,9,7,10,3,-1
141,169,9,8,4,10,2
64,141,6,10,10,8,-9
141,183,11,8,13,7,-22
176,141,13,9,12,10,-2
183,141,15,8,13,10,4
141,162,13,11,13,9,-4
155,141,13,13,14,13,-19
162,141,17,10,17,13,-29
141,10,18,13,10,19,4
141,92,19,13,10,20,13
141,85,20,13,24,7,9
141,71,21,13,18,14,1
141,99,22,13,14,16,16
141,31,23,13,7,26,21
141,36,24,13,13,21,-4
106,141,19,18,25,14,7
141,120,25,15,29,10,-6
141,197,25,16,15,23,10
113,141,20,21,26,17,1
127,141,33,11,26,18,-15
99,141,21,22,27,18,3
148,141,33,15,27,19,-19
141,134,28,19,16,29,5
3,141,24,24,29,20,-15
141,162,30,20,29,20,-13
57,141,15,37,30,21,-43
141,169,31,22,18,35,9
36,141,25,27,33,22,-7
141,17,34,22,23,33,8
141,3,35,22,30,26,-20
141,50,35,23,21,37,23
141,24,36,24,46,13,2
141,43,37,24,20,40,20
71,141,26,33,38,24,-14
162,141,36,25,39,24,-6
176,141,38,26,40,24,-23
141,148,41,24,45,20,-13
141,127,41,26,43,23,1
92,141,19,48,42,26,-14
31,141,13,55,43,26,-5
190,141,43,28,44,27,-7
141,176,45,28,44,30,2
141,204,46,28,58,16,-21
169,141,27,48,46,29,-33
141,155,48,30,25,53,17
141,127,49,30,52,28,-2
141,106,50,31,36,45,4
141,148,0,0,0,0,4
141,148,1,0,0,1,-40
148,141,1,1,1,1,2
141,148,2,2,2,2,-10
148,141,3,2,2,3,-1
141,148,3,3,3,3,-5
149,142,3,1,3,0,-17
142,184,4,0,6,0,11
205,142,3,3,5,1,13
135,142,5,7,8,2,-13
142,86,10,2,8,6,17
142,18,13,2,3,13,11
93,142,7,12,14,2,-1
198,142,8,8,15,2,-27
142,114,17,2,4,15,16
184,142,16,4,18,2,-12
142,177,19,2,17,7,7
142,198,20,2,11,11,6
170,142,12,15,22,3,-20
142,149,23,4,19,10,-14
65,142,24,8,25,5,-21
121,142,17,17,26,5,-26
142,135,29,5,13,25,11
107,142,18,22,32,6,-43
184,142,29,13,33,6,-13
4,142,29,17,36,6,2
142,135,36,7,16,30,-10
163,142,28,20,36,8,-19
142,170,37,8,17,29,25
177,142,33,17,38,8,-14
142,51,39,9,10,40,14
142,58,40,9,12,40,5
142,114,41,9,11,41,3
205,142,34,20,42,9,-11
142,25,43,9,22,33,-6
142,100,43,10,33,23,7
142,65,44,11,37,20,24
142,37,46,11,24,33,-2
32,142,32,28,46,12,-9
149,142,40,22,48,12,-8
142,163,49,12,33,31,18
142,107,51,12,24,41,-11
51,142,13,51,51,13,-31
156,142,17,48,52,13,-3
72,142,53,14,53,13,-19
198,142,37,31,54,13,-16
135,142,31,37,55,13,-15
100,142,40,30,56,13,-31
142,128,57,13,44,24,14
142,149,60,13,49,25,4
163,142,38,37,61,13,-1
142,177,62,13,46,30,13
142,198,63,14,41,35,-3
128,142,51,27,63,15,-11
114,142,16,63,64,15,-9
198,142,0,0,0,0,-7
198,142,0,1,1,0,-10
191,142,0,0,0,0,-15
191,142,0,1,1,0,7
142,191,1,1,1,1,-10
142,191,1,2,2,1,17
191,142,2,2,2,2,-20
142,191,3,2,2,3,13
184,142,0,0,0,0,-4
184,142,0,1,1,0,-1
142,184,2,0,0,2,35
142,184,3,0,0,3,-13
184,142,1,3,3,1,-14
11,142,0,1,1,0,2
142,11,1,1,1,1,-5
142,11,1,2,2,1,21
142,11,3,2,2,3,8
199,143,0,0,0,0,-16
143,185,1,0,0,1,20
143,199,2,0,0,2,14
192,143,2,1,3,0,-50
108,143,2,3,5,0,-15
143,171,6,0,1,5,9
143,192,8,0,3,5,16
143,115,9,0,4,3,13
38,143,1,8,10,0,-8
66,143,7,4,11,0,-5
143,150,12,0,6,4,7
143,108,14,0,6,7,13
157,143,2,11,15,0,-34
171,143,6,11,17,0,-19
143,66,20,0,12,8,3
143,38,21,0,5,14,16
143,26,22,0,12,7,8
143,45,23,0,13,9,5
143,33,24,0,9,15,-13
33,143,10,17,25,1,-9
12,143,19,7,27,1,-6
143,178,29,1,18,13,-23
143,185,29,2,16,17,4
108,143,12,21,30,2,-3
143,157,32,2,8,27,21
143,129,33,2,15,23,20
143,171,34,2,15,21,12
87,143,22,15,35,2,-8
143,108,36,2,14,24,-2
143,12,37,4,28,10,34
143,5,38,4,24,16,31
26,143,23,19,39,4,-12
206,143,38,6,40,4,-30
143,59,42,4,7,40,3
143,52,43,4,23,26,21
185,143,27,26,46,4,-13
143,129,48,4,27,27,-32
143,150,48,5,36,18,3
143,87,50,5,32,24,6
143,94,51,5,25,30,16
143,122,52,5,41,17,3
122,143,42,19,54,5,-15
143,157,55,5,12,51,-17
94,143,27,34,55,6,-6
136,143,29,34,56,6,-21
129,143,34,31,57,6,-16
164,143,17,48,58,6,-7
199,143,24,41,59,6,-18
52,143,28,40,60,6,-36
143,178,61,6,34,34,18
143,115,62,7,22,47,5
101,143,36,37,66,7,-8
143,136,67,7,37,37,7
45,143,43,32,68,7,3
115,143,25,52,69,8,7
206,143,65,12,69,9,-11
143,192,70,9,42,37,1
