0,0,81,81,37.4,0.445,8.8,19.7,0.332,1.6,4.8,0.445,5.9,6.9,4.1,1,3.1,7.7,1,0.6,3.4,1.7,25

0,1,59,59,31.9,0.51,7.3,14.3,0,0,0.51,2.9,4.1,9.6,2.2,7.4,2.5,0.8,0.3,2.5,3.2,17.5

0,2,82,82,39.1,0.46,6.5,14.1,0.345,1.4,4.1,0.46,3.1,4.1,5.8,1.4,4.4,2.8,1,0.6,1.9,2,17.4

0,3,48,48,32.8,0.525,4.4,8.4,0.0,0,0,0.525,2.9,3.9,10.4,3.8,6.6,2.2,1,1.5,1.9,3.3,11.7

0,4,82,0,20.1,0.434,3,6.8,0.415,1.5,3.5,0.434,0.9,1.1,1.8,0.1,1.7,1.5,0.4,0.2,0.7,1.9,8.3

0,5,80,19,21.8,0.466,2.9,6.3,0.125,0,0.1,0.466,1.3,1.9,5.7,2,3.7,0.7,0.5,1.3,0.9,2.5,7.1

0,6,81,1,22,0.48,2.5,5.3,0.222,0.1,0.3,0.48,1.1,1.6,3.2,0.7,2.6,1.7,1.3,0.3,0.7,1,6.2

0,7,82,1,13.3,0.371,1.8,4.8,0.393,0.5,1.4,0.371,0.8,1.1,1.1,0.2,1,2.3,0.7,0.1,0.9,1,4.9

0,8,82,82,17.8,0.404,1.5,3.7,0.38,1.1,2.9,0.404,0.3,0.4,1.8,0.2,1.6,1.2,0.5,0.1,0.5,1.4,4.4

0,9,52,37,22.7,0.511,1.8,3.6,1.0,0,0,0.511,0.4,0.6,5.8,1.4,4.3,1.2,0.6,0.8,0.8,3.2,4.1

0,10,13,0,9.5,0.415,1.3,3.2,0.222,0.2,0.7,0.415,0.5,1,1.8,0.5,1.4,1.1,0.6,0.7,1.4,1.9,3.2

0,11,82,0,12.1,0.553,1,1.7,0,0,0.553,0.9,1.8,3.7,1.4,2.4,0.4,0.2,0.7,0.8,1.9,2.8

0,12,6,0,4.3,0.545,1,1.8,0.571,0.7,1.2,0,0,0.2,0,0.2,0,0,0,0.3,0.5,2.7

0,13,18,0,4.9,0.526,0.6,1.1,0.0,0,0.3,0,0,0.4,0.1,0.4,0.3,0.2,0.2,0.3,1,1.1

0,14,2,0,5,0.333,0.5,1.5,0.0,0,0.5,0.333,0,1,0,0,0,0.5,0,0,0,0,1

1,0,39,39,35.3,0.435,7.7,17.8,0.312,1.4,4.4,0.435,5,6.1,3.4,0.7,2.7,7.9,0.9,0.7,3.1,1.3,21.8

1,1,54,54,39.4,0.412,5.8,14,0.367,1.5,4,0.412,2.4,3.1,6.5,1.4,5.1,2.9,1,0.7,1.8,1.5,15.3

1,2,66,66,29.5,0.532,6.8,12.8,0.0,0,0,0.532,1.4,2.1,8.5,1.7,6.8,1.9,1,0.4,1.7,2.5,15

1,3,28,28,24.9,0.452,5,11.1,0.37,0.6,1.6,0.452,1,1.3,2.4,0.7,1.6,3,0.4,0,1.8,2,11.6

1,4,64,64,30.4,0.508,3.9,7.7,0.0,0,0,0.508,2.4,3.2,9.8,3.8,6,2.5,0.6,1.4,1.4,2.5,10.2

1,5,49,25,23.7,0.368,3.3,8.9,0.393,1.4,3.5,0.368,1.7,2.1,2.1,0.4,1.7,4.1,0.9,0.2,2,2.1,9.7

1,6,65,7,22.6,0.432,2.7,6.3,0.435,1.8,4.2,0.432,0.8,1,2.4,0.4,2,1.7,0.6,0.2,0.8,1.7,8.1

1,7,63,0,20.4,0.495,3.2,6.4,0,0,0.495,1.3,2.1,5.3,2.1,3.1,0.7,0.4,1.3,1,2.1,7.7

